file_index,input_file,output_file,log_file,gpu_log_file,sim_start_time,task_start_time,elapsed_time(s),task_end_time,random_seed,job_id,host_name,gpu_device_id,peak_gpu_memory_used,gpu_memory_start,gpu_memory_end,job_completed,job_error_msg,input_file_size_mb,output_file_size_mb
435,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000435.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000435.EDEPSIM_2024-09-13_01:24:56_6407_30371414.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000435.EDEPSIM_2024-09-13_01:24:56_6407_30371414.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000435.EDEPSIM_2024-09-13_01:24:56_6407_30371414.gpu_mem.log,2024-09-12_23:19:34,2024-09-13_01:24:56,1376.06,2024-09-13 01:47:54,6407,30371414,nid008361,GPU-e2772713-f6d8-de2f-cdb2-8862717a3eb4,39257,429,34287,True,,20.9476318359375,1306.5982818603516
113,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000113.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000113.EDEPSIM_2024-09-11_01:01:46_9679_30368099.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000113.EDEPSIM_2024-09-11_01:01:46_9679_30368099.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000113.EDEPSIM_2024-09-11_01:01:46_9679_30368099.gpu_mem.log,2024-09-10_23:47:44,2024-09-11_01:01:46,1576.23,2024-09-11 01:28:05,9679,30368099,nid008540,GPU-1d67d4ee-bfe8-4666-dc2e-188124e5ac73,61761,429,61737,True,,31.546737670898438,1436.6437072753906
548,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000548.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000548.EDEPSIM_2024-09-13_02:38:14_1630_30371414.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000548.EDEPSIM_2024-09-13_02:38:14_1630_30371414.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000548.EDEPSIM_2024-09-13_02:38:14_1630_30371414.gpu_mem.log,2024-09-12_23:19:35,2024-09-13_02:38:14,1498.11,2024-09-13 03:03:15,1630,30371414,nid008437,GPU-16fcd804-1229-44a1-6171-38dc0a439e20,57953,429,52955,True,,34.127532958984375,1530.6624298095703
667,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000667.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000667.EDEPSIM_2024-09-13_02:49:38_1_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000667.EDEPSIM_2024-09-13_02:49:38_1_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000667.EDEPSIM_2024-09-13_02:49:38_1_30371429.gpu_mem.log,2024-09-12_23:59:52,2024-09-13_02:49:38,1586.74,2024-09-13 03:16:08,1,30371429,nid008300,GPU-ed8a4a29-7340-6fcd-938f-e4476c45631b,60727,429,60657,True,,35.09197998046875,1500.5009307861328
603,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000603.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000603.EDEPSIM_2024-09-13_01:16:34_6182_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000603.EDEPSIM_2024-09-13_01:16:34_6182_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000603.EDEPSIM_2024-09-13_01:16:34_6182_30371429.gpu_mem.log,2024-09-12_23:59:53,2024-09-13_01:16:34,1411.97,2024-09-13 01:40:09,6182,30371429,nid008297,GPU-2bfaba74-86ba-5425-780d-1b8349356350,58415,491,53415,True,,27.345687866210938,1386.9198837280273
734,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000734.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000734.EDEPSIM_2024-09-13_01:40:12_4707_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000734.EDEPSIM_2024-09-13_01:40:12_4707_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000734.EDEPSIM_2024-09-13_01:40:12_4707_30371429.gpu_mem.log,2024-09-12_23:59:50,2024-09-13_01:40:12,1465.76,2024-09-13 02:04:41,4707,30371429,nid008304,GPU-265a8d33-dab6-797d-9ba7-79885ed4a8f4,37651,491,32679,True,,25.995452880859375,1434.475715637207
741,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000741.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000741.EDEPSIM_2024-09-13_00:23:36_6430_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000741.EDEPSIM_2024-09-13_00:23:36_6430_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000741.EDEPSIM_2024-09-13_00:23:36_6430_30371429.gpu_mem.log,2024-09-12_23:59:50,2024-09-13_00:23:36,1514.99,2024-09-13 00:48:53,6430,30371429,nid008304,GPU-5a36951c-15ff-1e75-4105-811504072d2a,63897,429,63887,True,,31.331893920898438,1471.0294036865234
679,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000679.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000679.EDEPSIM_2024-09-13_03:48:35_3635_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000679.EDEPSIM_2024-09-13_03:48:35_3635_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000679.EDEPSIM_2024-09-13_03:48:35_3635_30371429.gpu_mem.log,2024-09-12_23:59:52,2024-09-13_03:48:35,1524.85,2024-09-13 04:14:03,3635,30371429,nid008300,GPU-27776f53-a192-2399-38f9-c91783ab7225,72399,491,67423,True,,26.443252563476562,1411.8957595825195
953,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000953.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000953.EDEPSIM_2024-09-13_03:39:48_9835_30368097.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000953.EDEPSIM_2024-09-13_03:39:48_9835_30368097.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000953.EDEPSIM_2024-09-13_03:39:48_9835_30368097.gpu_mem.log,2024-09-13_02:19:53,2024-09-13_03:39:48,1428.15,2024-09-13 04:03:38,9835,30368097,nid008392,GPU-d89771b8-f4be-9abb-88ae-b2131aedd22e,39901,491,39852,True,,21.658660888671875,1324.0471572875977
719,/dvs_ro/cfs/cdirs/dune/www/data/2x2/simulation/productions/MiniRun5_1E19_RHC/MiniRun5_1E19_RHC.convert2h5/EDEPSIM_H5/0000000/MiniRun5_1E19_RHC.convert2h5.0000719.EDEPSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000719.EDEPSIM_2024-09-13_03:49:06_3635_30371429.LARNDSIM.hdf5,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000719.EDEPSIM_2024-09-13_03:49:06_3635_30371429.log,/global/cfs/cdirs/dune/users/madan12/DUNE_nesap/pre-post-hackathon/larnd-sim-output-80GB-develop-v2/MiniRun5_1E19_RHC.convert2h5.0000719.EDEPSIM_2024-09-13_03:49:06_3635_30371429.gpu_mem.log,2024-09-12_23:59:51,2024-09-13_03:49:06,1503.23,2024-09-13 04:14:11,3635,30371429,nid008301,GPU-255a62d8-b319-4f4a-b55a-94f894ca421a,38765,491,33815,True,,24.408889770507812,1428.388053894043
